segment,batch,book,chapter,qc_pass,qc_reasons,duration_s,speech_duration_s,speech_begin_s,speech_end_s,leading_silence_s,trailing_silence_s,max_internal_silence_s,n_words_aligned,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr,aligned,segmentation_confidence,segmentation_reason,wav_path,txt_path,textgrid_path
1CO_003_seg_030,batch0_1CO_pilot,1CO,1CO_003,False,phone_duration_outlier,5.997,4.77,0.35,5.12,0.35,0.877,1.71,4,-60.916842447916665,-65.67198136273552,13.596473073854012,1.7868660165941392,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_003_seg_030.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_003_seg_030.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_003_seg_030.TextGrid
1CO_002_seg_024,batch0_1CO_pilot,1CO,1CO_002,False,phone_duration_outlier,6.307,5.867,0.44,6.307,0.44,0.0,0.3,7,-61.794206864104595,-67.04767977396646,13.326550247175852,2.0452270104538393,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_024.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_024.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_002_seg_024.TextGrid
1CO_002_seg_010,batch0_1CO_pilot,1CO,1CO_002,False,phone_duration_outlier,9.441,8.0,0.33,8.33,0.33,1.111,0.81,13,-61.140074649099574,-68.36267368829073,12.97265709289617,2.886717135903254,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_010.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_010.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_002_seg_010.TextGrid
1CO_001_seg_021,batch0_1CO_pilot,1CO,1CO_001,False,phone_duration_outlier,12.756,12.36,0.0,12.36,0.0,0.396,0.98,36,-61.43021404780564,-66.41757241781656,10.896837774212887,3.1624840488899277,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_021.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_021.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_001_seg_021.TextGrid
1CO_003_seg_027,batch0_1CO_pilot,1CO,1CO_003,True,,11.409,10.09,1.04,11.13,1.04,0.279,1.56,8,-60.86582493426818,-70.65495829148726,9.553502791962998,0.42876574548445845,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_003_seg_027.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_003_seg_027.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_003_seg_027.TextGrid
1CO_001_seg_007,batch0_1CO_pilot,1CO,1CO_001,True,,9.373,8.73,0.0,8.73,0.0,0.643,3.15,7,-60.0476170624333,-65.68825881958008,9.51861504998225,-3.513943651122995,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_007.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_007.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_001_seg_007.TextGrid
1CO_001_seg_043,batch0_1CO_pilot,1CO,1CO_001,True,,11.725,11.39,0.0,11.39,0.0,0.335,2.18,22,-61.074548433503836,-66.28110151470833,8.608787268752772,0.8271730029583679,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_043.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_043.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_001_seg_043.TextGrid
1CO_001_seg_015,batch0_1CO_pilot,1CO,1CO_001,True,,12.712,11.89,0.36,12.25,0.36,0.462,1.39,15,-59.094585955940204,-66.15162953694661,8.322561821229474,1.3140161910036277,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_015.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_015.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_001_seg_015.TextGrid
1CO_001_seg_026,batch0_1CO_pilot,1CO,1CO_001,True,,7.25,6.35,0.39,6.74,0.39,0.51,0.0,11,-60.1515463362069,-66.49534693935462,7.259823890566413,7.956252165100658,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_026.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_001_seg_026.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_001_seg_026.TextGrid
1CO_002_seg_005,batch0_1CO_pilot,1CO,1CO_002,True,,7.378,4.9,1.73,6.63,1.73,0.748,1.34,13,-61.482384823848236,-68.59705941718921,7.007085382829556,3.3798748508584886,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_005.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_005.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_002_seg_005.TextGrid
1CO_003_seg_007,batch0_1CO_pilot,1CO,1CO_003,True,,5.035,4.66,0.06,4.72,0.06,0.315,0.54,25,-64.1070072234623,-64.19227792649042,6.929646453786066,12.42774109642275,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_003_seg_007.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_003_seg_007.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_003_seg_007.TextGrid
1CO_002_seg_003,batch0_1CO_pilot,1CO,1CO_002,True,,11.525,10.52,0.41,10.93,0.41,0.595,1.4,24,-60.79929396140503,-64.35073125643993,6.834648695956957,3.587101475789721,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_003.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_003.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_002_seg_003.TextGrid
1CO_002_seg_017,batch0_1CO_pilot,1CO,1CO_002,True,,9.51,8.73,0.37,9.1,0.37,0.41,1.97,12,-57.64219817954785,-59.64472872018814,6.834648695956957,1.3393430763363288,True,high,,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_017.wav,data\processed\audio\phase3_verification\batch0_1CO_pilot\mfa_corpus_test\speaker1\1CO_002_seg_017.txt,data\processed\audio\phase3_verification\batch0_1CO_pilot\textgrids_test\speaker1\1CO_002_seg_017.TextGrid
